time_plasma, ci_plasma
1.022764358,0.016881406
1.53177311,0.048766105
1.998151466,0.062687811
2.502869792,0.078221092
3.487568036,0.079540403
3.991647364,0.068653522
5.003640015,0.051345038
6.994945057,0.035384679
9.002133802,0.018146174
10.98467542,0.014079159
12.96593904,0.008762812
16.98570239,0.005580826
20.98419617,0.003557609
23.9758093,0.002999835
