"time, h",labeled fraction
0.495211649,0.00048796
1.052751315,0.025073873
1.545654519,0.063703058
2.04829334,0.077995403
2.541999481,0.092837977
3.494885456,0.091926591
4.042087303,0.081406591
5.02438086,0.062295787
7.035638712,0.044789249
9.032544057,0.024756869
11.02503325,0.020850929
13.02264116,0.014290081
17.00842248,0.009926749
20.99018911,0.006876719
23.97862179,0.005632479
